Designator,Mid X,Mid Y,Rotation,Layer
LC61,212.06875,-109.97,180.0,bottom
LC62,233.5,-109.97,180.0,bottom
LC63,252.55,-109.97,180.0,bottom
LC64,271.6,-109.97,180.0,bottom
LC65,290.65,-109.97,180.0,bottom
LC66,309.7,-109.97,180.0,bottom
LC7,157.3,-33.77,180.0,bottom
LC8,176.35,-33.77,180.0,bottom
LC9,195.4,-33.77,180.0,bottom
LED1,38.1,-33.02,180.0,bottom
LED10,209.55,-33.02,180.0,bottom
LED11,228.6,-33.02,180.0,bottom
LED12,247.65,-33.02,180.0,bottom
LED13,266.7,-33.02,180.0,bottom
LED14,285.75,-33.02,180.0,bottom
LED15,42.8625,-52.07,180.0,bottom
LED16,66.675,-52.07,180.0,bottom
LED17,85.725,-52.07,180.0,bottom
LED18,104.775,-52.07,180.0,bottom
LED19,123.825,-52.07,180.0,bottom
LED2,57.15,-33.02,180.0,bottom
LED20,142.875,-52.07,180.0,bottom
LED21,161.925,-52.07,180.0,bottom
LED22,180.975,-52.07,180.0,bottom
LED23,200.025,-52.07,180.0,bottom
LED24,219.075,-52.07,180.0,bottom
LED25,238.125,-52.07,180.0,bottom
LED26,257.175,-52.07,180.0,bottom
LED27,276.225,-52.07,180.0,bottom
LED28,300.0375,-52.07,180.0,bottom
LED29,45.24375,-71.12,180.0,bottom
LED3,76.2,-33.02,180.0,bottom
LED30,71.4375,-71.12,180.0,bottom
LED31,90.4875,-71.12,180.0,bottom
LED32,109.5375,-71.12,180.0,bottom
LED33,128.5875,-71.12,180.0,bottom
LED34,147.6375,-71.12,180.0,bottom
LED35,166.6875,-71.12,180.0,bottom
LED36,185.7375,-71.12,180.0,bottom
LED37,204.7875,-71.12,180.0,bottom
LED38,223.8375,-71.12,180.0,bottom
LED39,242.8875,-71.12,180.0,bottom
LED4,95.25,-33.02,180.0,bottom
LED40,261.9375,-71.12,180.0,bottom
LED41,292.89375,-71.12,180.0,bottom
LED42,40.48125,-90.17,180.0,bottom
LED43,61.9125,-90.17,180.0,bottom
LED44,80.9625,-90.17,180.0,bottom
LED45,100.0125,-90.17,180.0,bottom
LED46,119.0625,-90.17,180.0,bottom
LED47,138.1125,-90.17,180.0,bottom
LED48,157.1625,-90.17,180.0,bottom
LED49,176.2125,-90.17,180.0,bottom
LED5,114.3,-33.02,180.0,bottom
LED50,195.2625,-90.17,180.0,bottom
LED51,214.3125,-90.17,180.0,bottom
LED52,233.3625,-90.17,180.0,bottom
LED53,259.55625,-90.17,180.0,bottom
LED54,285.75,-90.17,180.0,bottom
LED55,304.8,-90.17,180.0,bottom
LED56,40.48125,-109.22,180.0,bottom
LED57,64.29375,-109.22,180.0,bottom
LED58,88.10625,-109.22,180.0,bottom
LED59,126.20625,-109.22,180.0,bottom
LED6,133.35,-33.02,180.0,bottom
LED60,173.83125,-109.22,180.0,bottom
LED61,207.16875,-109.22,180.0,bottom
LED62,228.6,-109.22,180.0,bottom
LED63,247.65,-109.22,180.0,bottom
LED64,266.7,-109.22,180.0,bottom
LED65,285.75,-109.22,180.0,bottom
LED66,304.8,-109.22,180.0,bottom
LED7,152.4,-33.02,180.0,bottom
LED8,171.45,-33.02,180.0,bottom
LED9,190.5,-33.02,180.0,bottom
MX1,38.1,-38.1,180.0,bottom
MX10,209.55,-38.1,180.0,bottom
MX11,228.6,-38.1,180.0,bottom
MX12,247.65,-38.1,180.0,bottom
MX13,266.7,-38.1,180.0,bottom
MX14,285.75,-38.1,180.0,bottom
MX15,42.8625,-57.15,180.0,bottom
MX16,66.675,-57.15,180.0,bottom
MX17,85.725,-57.15,180.0,bottom
MX18,104.775,-57.15,180.0,bottom
MX19,123.825,-57.15,180.0,bottom
MX2,57.15,-38.1,180.0,bottom
MX20,142.875,-57.15,180.0,bottom
MX21,161.925,-57.15,180.0,bottom
MX22,180.975,-57.15,180.0,bottom
MX23,200.025,-57.15,180.0,bottom
MX24,219.075,-57.15,180.0,bottom
MX25,238.125,-57.15,180.0,bottom
MX26,257.175,-57.15,180.0,bottom
MX27,276.225,-57.15,180.0,bottom
MX28,300.0375,-57.15,180.0,bottom
MX29,45.24375,-76.2,180.0,bottom
MX3,76.2,-38.1,180.0,bottom
MX30,71.4375,-76.2,180.0,bottom
MX31,90.4875,-76.2,180.0,bottom
MX32,109.5375,-76.2,180.0,bottom
MX33,128.5875,-76.2,180.0,bottom
MX34,147.6375,-76.2,180.0,bottom
MX35,166.6875,-76.2,180.0,bottom
MX36,185.7375,-76.2,180.0,bottom
MX37,204.7875,-76.2,180.0,bottom
MX38,223.8375,-76.2,180.0,bottom
MX39,242.8875,-76.2,180.0,bottom
MX4,95.25,-38.1,180.0,bottom
MX40,261.9375,-76.2,180.0,bottom
MX41,292.89375,-76.2,180.0,bottom
MX42,40.48125,-95.25,180.0,bottom
MX43,61.9125,-95.25,180.0,bottom
MX44,80.9625,-95.25,180.0,bottom
MX45,100.0125,-95.25,180.0,bottom
MX46,119.0625,-95.25,180.0,bottom
MX47,138.1125,-95.25,180.0,bottom
MX48,157.1625,-95.25,180.0,bottom
MX49,176.2125,-95.25,180.0,bottom
MX5,114.3,-38.1,180.0,bottom
MX50,195.2625,-95.25,180.0,bottom
MX51,214.3125,-95.25,180.0,bottom
MX52,233.3625,-95.25,180.0,bottom
MX53,259.55625,-95.25,180.0,bottom
MX54,285.75,-95.25,180.0,bottom
MX55,304.8,-95.25,180.0,bottom
MX56,40.48125,-114.3,180.0,bottom
MX57,64.29375,-114.3,180.0,bottom
MX58,88.10625,-114.3,180.0,bottom
MX59,126.20625,-114.3,180.0,bottom
MX6,133.35,-38.1,180.0,bottom
MX60,173.83125,-114.3,180.0,bottom
MX61,207.16875,-114.3,180.0,bottom
MX62,228.6,-114.3,180.0,bottom
MX63,247.65,-114.3,180.0,bottom
MX64,266.7,-114.3,180.0,bottom
MX65,285.75,-114.3,180.0,bottom
MX66,304.8,-114.3,180.0,bottom
MX7,152.4,-38.1,180.0,bottom
MX8,171.45,-38.1,180.0,bottom
MX9,190.5,-38.1,180.0,bottom
R1_2,40.1828,-30.1752,0.0,bottom
R10,97.4852,-118.4148,0.0,bottom
R2_4,54.1528,-30.1752,180.0,bottom
R3,119.888,-105.5116,315.0,bottom
R4,100.7618,-105.918,90.0,bottom
R5,99.2378,-105.918,270.0,bottom
R6,31.242,-35.814,90.0,bottom
R7,97.4852,-121.2342,0.0,bottom
R8,97.4852,-120.2944,0.0,bottom
R9,97.4852,-119.3292,0.0,bottom
RESET_2,155.376432,-120.253024,0.0,top
RESET,155.376432,-120.253024,0.0,bottom
U1,78.3336,-61.8236,0.0,bottom
U2,55.623698,-46.842837,0.0,bottom
U3,116.7384,-111.3536,225.0,bottom
U4,105.228942,-114.840101,45.0,bottom
UG1,167.050548,-94.760708,180.0,bottom
UL1,295.355855,-105.50625,180.0,bottom
UL10,230.98125,-50.006208,0.0,bottom
UL11,292.825,-50.00625,0.0,bottom
UL12,304.799744,-72.92572,0.0,bottom
UL2,235.74375,-105.50625,180.0,bottom
UL3,166.6875,-105.965625,180.0,bottom
UL4,108.942279,-105.50625,180.0,bottom
UL5,50.00625,-105.50625,180.0,bottom
UL6,38.03125,-72.92572,180.0,bottom
UL7,50.006208,-50.006208,0.0,bottom
UL8,111.91875,-50.006208,0.0,bottom
UL9,172.640604,-50.006208,0.0,bottom
Y1,111.250977,-118.890142,135.0,bottom
