+5V:2
3.3V:1
AC1:1
AC2:1
AC3:1
AC4:1
BOOT:2
C1:2
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C2:3
C3:2
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D25:1
D26:1
D27:1
D28:1
D29:1
D3:1
D30:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D4:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D49:1
D5:1
D50:1
D51:1
D52:1
D53:1
D54:1
D55:1
D56:1
D57:1
D58:1
D59:1
D6:1
D60:1
D61:1
D62:1
D7:1
D8:1
D9:1
ENC1:1
F1:1
FB1:1
G***:4
GND:2
J1:1
L1:1
LC1:1
LC10:1
LC11:1
LC12:1
LC13:1
LC14:1
LC15:1
LC16:1
LC17:1
LC18:1
LC19:1
LC2:1
LC20:1
LC21:1
LC22:1
LC23:1
LC24:1
LC25:1
LC26:1
LC27:1
LC28:1
LC29:1
LC3:1
LC30:1
LC31:1
LC32:1
LC33:1
LC34:1
LC35:1
LC36:1
LC37:1
LC38:1
LC39:1
LC4:1
LC40:1
LC41:1
LC42:1
LC43:1
LC44:1
LC45:1
LC46:1
LC47:1
LC48:1
LC49:1
LC5:1
LC50:1
LC51:1
LC52:1
LC53:1
LC54:1
LC55:1
LC56:1
LC57:1
LC58:1
LC59:1
LC6:1
LC60:1
LC61:1
LC62:1
LC63:1
LC64:1
LC65:1
LC66:1
LC7:1
LC8:1
LC9:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED17:1
LED18:1
LED19:1
LED2:1
LED20:1
LED21:1
LED22:1
LED23:1
LED24:1
LED25:1
LED26:1
LED27:1
LED28:1
LED29:1
LED3:1
LED30:1
LED31:1
LED32:1
LED33:1
LED34:1
LED35:1
LED36:1
LED37:1
LED38:1
LED39:1
LED4:1
LED40:1
LED41:1
LED42:1
LED43:1
LED44:1
LED45:1
LED46:1
LED47:1
LED48:1
LED49:1
LED5:1
LED50:1
LED51:1
LED52:1
LED53:1
LED54:1
LED55:1
LED56:1
LED57:1
LED58:1
LED59:1
LED6:1
LED60:1
LED61:1
LED62:1
LED63:1
LED64:1
LED65:1
LED66:1
LED7:1
LED8:1
LED9:1
MX1:1
MX10:1
MX11:1
MX12:1
MX13:1
MX14:1
MX15:1
MX16:1
MX17:1
MX18:1
MX19:1
MX2:1
MX20:1
MX21:1
MX22:1
MX23:1
MX24:1
MX25:1
MX26:1
MX27:1
MX28:1
MX29:1
MX3:1
MX30:1
MX31:1
MX32:1
MX33:1
MX34:1
MX35:1
MX36:1
MX37:1
MX38:1
MX39:1
MX4:1
MX40:1
MX41:1
MX42:1
MX43:1
MX44:1
MX45:1
MX46:1
MX47:1
MX48:1
MX49:1
MX5:1
MX50:1
MX51:1
MX52:1
MX53:1
MX54:1
MX55:1
MX56:1
MX57:1
MX58:1
MX59:1
MX6:1
MX60:1
MX61:1
MX62:1
MX63:1
MX64:1
MX65:1
MX66:1
MX7:1
MX8:1
MX9:1
QSPI_SS:1
R1:2
R10:1
R2:4
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:1
RESET:2
RGB_IN:1
RGB_OUT:1
U1:1
U2:1
U3:1
U4:1
UG1:1
UL1:1
UL10:1
UL11:1
UL12:1
UL2:1
UL3:1
UL4:1
UL5:1
UL6:1
UL7:1
UL8:1
UL9:1
Y1:1
